,"Tipo (Grande, Mediano, Pequeño, Helipuerto)",Nombre,"Elevacion (bajo, medio, altos)",Provincia,Ciudad,Codigo local
862,Helipuerto,Centro Civico Grand Bourg,Altos,Salta,Salta,Hgb
863,Helipuerto,Finca Las Costas,Altos,Salta,Salta,Hfc
864,Helipuerto,Hospital De Milagro,Altos,Salta,Salta,Hhm
865,Helipuerto,Hospital Municipal,Medio,Buenos Aires,San Andres De Giles,Hsh
866,Helipuerto,Arelauquen,Altos,Rio Negro,San Carlos De Bariloche,Hba
867,Helipuerto,Complejo Llao Llao,Altos,Rio Negro,San Carlos De Bariloche,Hll
868,Helipuerto,Sarthou S.A.,Bajo,Buenos Aires,San Fernando,Hfs
871,Helipuerto,Estancia La Candelaria,Altos,Neuquen,San Martin De Los Andes,Hcd
872,Helipuerto,Rancho De Montaña,Altos,Neuquen,San Martin De Los Andes,Hrm
874,Helipuerto,Heliplataforma Carina/Total Fina,Bajo,Tierra Del Fuego,Santa Cruz,Hri
875,Helipuerto,Heliplataforma/Rio Cullen-Hidra Norte,Bajo,Tierra Del Fuego,Santa Cruz,Hno
876,Helipuerto,Heliplataforma Am I,Bajo,Santa Cruz,Santa Cruz,Hab
877,Helipuerto,Heliplataforma/Am-2,Medio,Santa Cruz,Santa Cruz,Had
878,Helipuerto,Heliplataforma/Am3,Medio,Santa Cruz,Santa Cruz,Ham
879,Helipuerto,Heliplataforma/Am5,Bajo,Santa Cruz,Santa Cruz,Hmq
880,Helipuerto,Isla Santa Monica,Bajo,Buenos Aires,Tigre,Hsm
881,Helipuerto,Estancia La Chacota,Medio,Buenos Aires,Trenque Lauquen,Htl
882,Helipuerto,Norberto Cordeiro,Altos,Cordoba,Villa Carlos Paz,Hai
883,Helipuerto,Citefa,Bajo,Buenos Aires,Villa Martelli,Hvm
884,Helipuerto,Las Chacritas,Bajo,Buenos Aires,Villa Rosa,Hlt
890,Helipuerto,D.P. El Vapor,Bajo,Buenos Aires,Almirante Brown,Hev
891,Helipuerto,Heliplataforma Barcaza Yagana,Bajo,Santa Cruz,Barcaza Yagana,Hby
892,Helipuerto,Madero Harbour,Medio,Buenos Aires (Autonomous City),Buenos Aires,Hmg
894,Helipuerto,Heliplataforma Swiber,Bajo,Tierra Del Fuego,Campo Vega Pleyade,Hsw
895,Helipuerto,Cañuelas Gas Sa Heliport,Bajo,Buenos Aires,Cañuelas ,Hga
897,Helipuerto,Berrini,Altos,Cordoba,Cordoba,Hbr
898,Helipuerto,Centro Civico Bicentenario,Altos,Cordoba,Cordoba,Hbi
899,Helipuerto,Colonia La Capilla,Bajo,Buenos Aires,Florencio Varela,Hfv
900,Helipuerto,Heliplataforma Movil Ocean,Medio,Santa Cruz,Golfo San Jorge,Hos
901,Helipuerto,Lar De Paz S.A.,Bajo,Buenos Aires,Gonzalez Catan,Hgm
902,Helipuerto,Hospital R. Carrillo,Bajo,Santa Fe,Granadero Baigorria,Hdr
903,Helipuerto,Ituzaingo / Transener S.A.,Medio,Corrientes,Ituzaingo,Hit
904,Helipuerto,Dr. Mariano Moreno,Bajo,Buenos Aires,Jose C. Paz,Hmm
905,Helipuerto,Casa De Lata,Altos,Neuquen,Junin De Los Andes,Hdl
906,Helipuerto,Pernigotti,Medio,Santiago Del Estero,La Banda,Hbd
907,Helipuerto,Campanopolis,Bajo,Buenos Aires,La Matanza,His
908,Helipuerto,Superficie,Bajo,Buenos Aires,La Plata,Hbt
909,Helipuerto,C.A.P.E. Provincial Police,Altos,La Rioja,La Rioja,Hpl
910,Helipuerto,S.A.N.A.,Altos,Misiones,Leandro N. Alem,Hla
911,Helipuerto,La Reserva,Bajo,Buenos Aires,Los Cardales,Hlr
913,Helipuerto,Homaq,Bajo,Buenos Aires,Lujan,Hlh
915,Helipuerto,Policia De La Provincia De Mendoza,Altos,Mendoza,Mendoza,Hpd
917,Helipuerto,San Diego Country Club,Bajo,Buenos Aires,Moreno,Hsd
918,Helipuerto,Pachon Minera,Altos,San Juan,"Pachon, Calingasta",Hps
919,Helipuerto,Piero Vara,Bajo,Buenos Aires,Pilar,Hpi
923,Helipuerto,Heliplataforma Oceanic,Bajo,Tierra Del Fuego,Rio Grande,Hoc
924,Helipuerto,San Fernando / Parana Mini,Bajo,Buenos Aires,Rio Parana Mini,Hmh
925,Helipuerto,Unidad Regional Ii De Polcia,Bajo,Santa Fe,Rosario,2831
928,Helipuerto,Cooperativa De Trabajos Portuarios Limitada,Bajo,Santa Fe,San Martin,Hpt
929,Helipuerto,Miguel Colombise,Bajo,Santa Fe,San Nicolas,Hsn
930,Helipuerto,Metalurgico / Miguel Colombise,Bajo,Buenos Aires,San Nicolas De Los Arroyos,Hsn
931,Helipuerto,Rio Cullen Ii,Bajo,Tierra Del Fuego,Santa Cruz,Hce
933,Helipuerto,Edificio Tribunales,Medio,Santiago Del Estero,Santiago Del Estero,Het
935,Helipuerto,Estancia La Pascuala,Medio,Buenos Aires,Tandil,Htd
936,Helipuerto,Villa La Ñata,Bajo,Buenos Aires,Tigre,Hva
937,Helipuerto,Nordelta,Bajo,Buenos Aires,Tigre,Hnb
939,Helipuerto,Dayry Partners Americas Manufacturing Argentina Sa,Medio,Cordoba,Villa Nueva,Hne
941,Helipuerto,Roca,Altos,Cordoba,Yacanto De Calamuchita,Hyc
942,Helipuerto,Austral S.A.,Medio,Tierra Del Fuego,Yacimiento Cañadon Alfa,Hcp
