,"Tipo (Grande, Mediano, Pequeño, Helipuerto)",Nombre,"Elevacion (bajo, medio, altos)",Provincia,Ciudad,Codigo local
563,Pequeño,Monte Quemado,Medio,Santiago Del Estero,Monte Quemado,Mtq
565,Pequeño,Scaro,Altos,Jujuy,Monterrico,Mts
566,Pequeño,Montes De Oca,Bajo,Santa Fe,Montes De Oca,Oca
567,Pequeño,Aeroboero,Medio,Cordoba,Morteros,Boe
568,Pequeño,Morteros,Medio,Cordoba,Morteros,Mtr
569,Pequeño,Campo San Jose,Medio,Cordoba,Morteros,Csj
570,Pequeño,Lago Nahuel Huapi,Altos,Rio Negro,Nahuel Huapi,Lnh
571,Pequeño,Iriberri,Bajo,Buenos Aires,Necochea,Nei
572,Pequeño,Pulverizaciones Aerosur,Bajo,Buenos Aires,Necochea,Npa
574,Pequeño,Loma La Lata,Altos,Neuquen,Neuquen,Oma
575,Pequeño,Juan Carlos Bagur,Medio,Entre Rios,Nogoya,Njb
576,Pequeño,Nogoya,Medio,Entre Rios,Nogoya,Nog
577,Pequeño,Norberto De La Riestra,Bajo,Buenos Aires,Norberto De La Riestra,Ndr
578,Pequeño,Finca Toloche,Altos,Salta,Nuestra Señora De Talavera,Nst
580,Pequeño,Nueve De Julio,Medio,Buenos Aires,Nueve De Julio,Lio
581,Pequeño,Obera,Altos,Misiones,Obera,Obe
582,Pequeño,Olavarria Aeroclub,Medio,Buenos Aires,Olavarria,Olc
583,Pequeño,Oliva,Medio,Cordoba,Oliva,Olv
584,Pequeño,Parana Aeroclub,Medio,Entre Rios,Parana,Ana
585,Pequeño,Parana Club De Planeadores,Medio,Entre Rios,Parana,Pna
586,Pequeño,Paso De Los Indios,Medio,Chubut,Paso De Los Indios,Ind
587,Pequeño,Las Lilas,Medio,Buenos Aires,Pasteur,Pas
588,Pequeño,Pedro Luro,Bajo,Buenos Aires,Pedro Luro,Uro
589,Pequeño,La Mariela,Medio,Buenos Aires,Pehuajo,Pjo
590,Pequeño,Pellegrini,Medio,Buenos Aires,Pellegrini,Plg
591,Pequeño,El Recuerdo S.R.L.,Medio,Cordoba,Pescanas,Pan
592,Pequeño,La Caldonia,Medio,Santa Fe,Piamonte,1063
593,Pequeño,Pichanal-Franzini,Altos,Salta,Pichanal,2105
594,Pequeño,Piedra Del Aguila,Altos,Neuquen,Piedra Del Aguila,Agi
595,Pequeño,Servicios,Medio,Buenos Aires,Pigüe,Psa
596,Pequeño,Pilar,Altos,Cordoba,Pilar,Pil
598,Pequeño,Estancia La Carolina,Bajo,Santa Fe,Piñero,Plc
599,Pequeño,Sas Aeroaplicaciones,Altos,Salta,Piquete Cabado,Pca
600,Pequeño,Finca Porvenir 8,Altos,Salta,Piquete Cabado,2800
601,Pequeño,Aerodromo De La Estancia La,Medio,Formosa,Pirane,Pls
602,Pequeño,Poblet,Bajo,Buenos Aires,Poblet,Pbe
603,Pequeño,Bonetti,Medio,Misiones,Posadas,Pbo
606,Pequeño,Aerodromo Estancia La,Medio,Chaco,Presidencia Roca,Pra
608,Pequeño,Termal,Medio,Chaco,Presidencia Roque Saenz Peña,Psp
609,Pequeño,Rovere,Medio,Chaco,Presidencia Roque Saenz Peña,Psv
610,Pequeño,Puan,Medio,Buenos Aires,Puan,Pua
611,Pequeño,Buenos Aires,Bajo,Buenos Aires,"Pueblo Alsina, Baradero",Bex
612,Pequeño,Puelches,Medio,La Pampa,Puelches,Pue
613,Pequeño,Puerto Deseado West,Medio,Santa Cruz,Puerto Deseado,Des
620,Pequeño,Terminal 6,Bajo,Santa Fe,Puerto San Martin,Pst
621,Pequeño,La Lucia,Medio,Santa Fe,Pujato,Pll
622,Pequeño,Pettilep,Medio,Santa Fe,Pujato,Pup
624,Pequeño,Punta Alta,Bajo,Buenos Aires,Punta Alta,Plt
625,Pequeño,Punta De Vacas,Altos,Mendoza,Punta De Vacas,Pdv
628,Pequeño,Estancia La,Bajo,Chubut,Punta Roja,Lae
629,Pequeño,Quemu Quemu,Medio,La Pampa,Quemu Quemu,Muq
630,Pequeño,Moromar,Bajo,Buenos Aires,Quequen,Uen
632,Pequeño,Rafaela,Medio,Santa Fe,Rafaela,Rla
633,Pequeño,La Igualdad,Bajo,Buenos Aires,Ranchos,Rai
634,Pequeño,Rauch,Medio,Buenos Aires,Rauch,Rau
635,Pequeño,Rawson,Bajo,Chubut,Rawson,Raw
637,Pequeño,Realico,Medio,La Pampa,Realico,Rlc
640,Pequeño,Aeroclub Chaco,Medio,Chaco,Resistencia,Res
641,Pequeño,Nueva Valencia,Medio,Corrientes,Riachuelo,Env
642,Pequeño,Don Jose,Bajo,Santa Fe,Ricardone,Rdj
643,Pequeño,Pettilep Ii,Medio,Santa Fe,Ricardone,Pep
648,Pequeño,Vale,Altos,Mendoza,Rio Colorado,Rcv
649,Pequeño,Estindher,Altos,Cordoba,Rio Cuarto,Rie
650,Pequeño,Rio Chico,Bajo,Santa Cruz,Rio Gallegos,Rgr
